date,title,verdict,body,label
31-Mar-25,Kenyan president has not asked Nigerian government to return Biafra separatist leader Nnamdi Kanu,Posts on Facebook claim that Kenyan president William Ruto has asked the Nigerian government to return the leader of the Indigenous People of Biafra to Kenya. There is no evidence for this claim.,"Kenyan president William Ruto has asked the Nigerian government to return the leader of the  Indigenous People of Biafra   (Ipob),  Nnamdi Kanu, to Kenya. That’s according to a  message  doing the rounds on Facebook . It  reads :  Breaking News: Kenyan President William Kipchirchir Has Requested for Nigeria to Return Nnamdi Kanu to Kenya immediately, Takes Case to World Court. For the first time, Kenya is taking legal action against Nigeria at the World Court over the case of Nnamdi Kanu. President William Kipchirchir has formally requested Nigerian President Bola Tinubu to return Nnamdi Kanu to Kenya, citing concerns over diplomatic security. The Kenyan president expressed fears that foreign diplomats now feel unsafe in his country, stating that if Nnamdi Kanu could be taken from Kenya in such a manner, the same could happen to anyone. President Kipchirchir emphasized that Nigeria’s actions have severely damaged Kenya’s international reputation. He vowed to pursue the case at the highest level to ensure justice and restore his country’s image. The same claim appears  here ,  here ,  here ,  here  and  here .  (Note: See more instances listed at the end of the report.) Kanu is  facing charges  bordering on terrorism and treasonable felony, among others, over his involvement in the agitation for the restoration of  Biafra , a secessionist state that existed between 1967 and 1970.    He was  arrested  in October 2015 and  released on bail  in 2017. He then fled the country after the  Nigerian military raided  his home.  In June 2021, Kanu was  rearrested in Kenya  and extradited to Nigeria to continue his trial. He has remained in the Nigerian government’s custody since then.  But has Ruto demanded that Kanu be returned to Kenya where the Nigerian government picked him up? We checked. No evidence supports the claim     We found no evidence that Ruto made this request. There is no mention of Kanu or Biafra in  Ruto’s recent public communication . There is also no evidence of diplomats in Kenya expressing security concerns due to Kanu’s arrest and extradition from the East African country.  The posts say Kenya has instituted legal action against Nigeria at the “World Court”, perhaps referring to the  International Court of Justice   (ICJ).  But we found no case between Kenya and Nigeria on the  ICJ’s list of cases  nor any related to Kanu’s arrest and extradition. Such a case would have caught the media’s attention. NJC debunks a similar claim Nigeria’s National Judicial Council (NJC) has  debunked a claim  that the country’s chief justice, Kudirat Kekere-Ekun, said Kanu should be released and returned to Kenya where he was arrested. A  statement by   the NJC’s deputy director of information, Kemi Ogedengbe, described a media report that made that claim as false.  “There are no court proceedings, decisions or judgments where such statements ascribed to his lordship were made. The council categorically emphasises that the chief justice of Nigeria neither presided over any case of Kanu at the apex court, where jurisdiction issue was argued nor made any such pronouncement. “The chief justice never wrote any formal letter to the Kenya government or Kenya high commission apologising on the issue of arrest of Nnamdi Kanu and trial. The council urges members of the public to disregard the fake story,”  the statement reads . No evidence supports the claim that Ruto asked Nigeria to return Kanu to Kenya. It is false. The false claim was also posted  here ,  here ,  here ,  here ,  here ,  here ,  here ,  here ,  here ,  here ,  here ,  here,   here ,  here ,  here ,  here,   here ,  here ,  here ,  here,   here ,  here ,  here ,  here ,  here,   here ,  here ,  here ,  here ,  here ,  here ,  here ,  here ,  here ,  here,   here ,  here ,  here ,  here ,  here ,  here ,  here,   here ,  here ,  here ,  here ,  here ,  here ,  here,   here ,  here,   here,   here ,  here ,  here ,  here  and  here .",FALSE
24-Mar-25,"No, chairperson of Nigeria’s main opposition PDP hasn’t resigned",Nigeria’s Peoples Democratic Party is experiencing an internal leadership crisis. But the online claim that the party chair has quit is false.,"The  Peoples Democratic Party  (PDP), Nigeria’s main opposition party,  has been in crisis  since the 2023 general elections, with growing pressure from governors, party leaders and members to uphold its constitution. Some  party members insist  that acting chair Umar Damagum must step down to allow someone from the  North Central region  to complete the tenure of former chair Iyorchia Ayu,  who was removed  after the 2023 elections. However, several posts on Facebook in Nigeria claim that Damagum has already resigned, with some attributing the information to Arise News, a local television station. Damagum was  appointed  the acting chair in March 2023.  One of the Facebook posts  reads : “Ambassador Umar Damagum has resigned from his position as the acting National Chairman of the People’s Democratic Party (PDP). His resignation aligns with a broader push by PDP governors to increase their influence and guide the party’s future. – Arise News.” The same claim appeared on Facebook  here ,  here  and  here .  (Note: See other instances listed at the end of this report.) But has the acting PDP chairperson resigned? We checked. News of resignation fake  Some of the posts cited Arise news as the source of this information, but our search of the  TV station’s website  found no evidence of such news.  Local media  reported that  Damagum, in a statement by his spokesman Nuru Shehu Jos, denied claims of his resignation, calling them “fake news”. “To set the records straight, the Acting National Chairman, Ambassador Umar Damagun, has not resigned from his office; the PDP constitution affords the National Chairman a term of four years in office, in the first instance,” he was  quoted as saying.   The statement urged members and supporters of the PDP to disregard the claim. A look through the  party's X handle  shows that Damagum has been fulfilling his duty as the leader of the party. Claims that he has resigned are false.  The false claims also appeared  here ,  here ,  here ,  here ,  here  and  here .",FALSE
24-Mar-25,No evidence Nigeria’s Enugu state plans to ban popular minibuses and tricycles,Some Facebook posts in Nigeria claim that the Enugu state government is planning to ban tricycles and minibuses by the end of March 2025. But there is no evidence of this.,"Several posts on Facebook in Nigeria claim that the Enugu state government has finalised plans to ban tricycles and minibuses by 30 March 2025.  Enugu  is in the south-east of Nigeria. Tricycles and minibuses are popular means of transport in the state. One of the Facebook posts  reads : “Starting March 30, 2025, Enugu bans Keke and minibuses from major roads as part of a modernization plan. BRT buses will replace them, with free fares for secondary students and subsidies for tertiary students.” A keke is a tricycle. BRT refers to bus rapid transit. The same claim also appeared on Facebook  here ,  here  and  here .  (Note: See more instances listed at the end of this report.) But has the state government announced a ban on three-wheelers and minibuses in the state? We checked. No evidence of the claim We found no evidence of an imminent ban on the state government’s  official website . The local media widely reported on a   previous ban  on minibuses and tricycles. However, we found no 2025 reports in credible media outlets about another ban, which would be the case if it were true. There is no evidence that the Enugu state government will ban tricycles and minibuses in the state by the end of March. The false claim also appeared  here ,  here ,  here ,  here  and  here .",FALSE
27-Mar-25,Nigeria’s former president Obasanjo did not advise suspended Rivers state governor to declare state of emergency,Several Facebook posts claim that former Nigerian president Olusegun Obasanjo told governor Siminalayi Fubara to declare a state of emergency in Rivers state. But the state government and the former president have denied this claim.,"Nigeria’s former president  Olusegun Obasanjo  visited the suspended Rivers state governor,  Siminalayi Fubara , and advised him on how to handle the political crisis in the state. This is  according  to  several   posts  on social  media . An 18 March 2025 post  reads , in part: “Shutdown Rivers Assembly. Declare State of Emergency in Rivers State  –  #Obasanjo Visits SIM #Fubara.” According to the post, Obasanjo told Fubara: “ Shutdown Rivers Assembly. Declare State of Emergency in Rivers State …  You are the governor, elected by the people. You are the Chief Security Officer of #RiversState. What you order stands—neither Tinubu nor Wike put you in power. Demolish any hall or arena set to host your impeachment. Tinubu needs Rivers votes to win the 2027 election, and you stand in his way.” Obasanjo was president of Nigeria from 1999 to 2007.  Rivers state  is located in the southern part of the country.  The political instability in the state started in 2023 when Fubara  fell out  with his predecessor,  Nyesom Wike . Fubara was elected governor in March 2023. A few months later, lawmakers loyal to Wike initiated  impeachment proceedings  against him. While the proceedings were later  withdrawn , this led to a major political  crisis . In March 2025, Fubara lost his  court bid  to dismiss pro-Wike lawmakers. Since then, calls for his  resignation  or impeachment have intensified. Things took a dramatic turn on 18 March when Nigerian president Bola Tinubu  announced  a state of emergency in the state and suspended Fubara, his deputy and the state’s house of assembly. The same  claim  can be found  here ,  here  and  here . But did Obasanjo,  a vocal critic  of Tinubu’s administration, tell Fubara to declare a state of emergency in Rivers and fight for his position as governor? We checked. Rivers state government debunks claim The political crisis in the state has been making headlines since it started. If Obasanjo had visited Fubara, the media would have reported on it. But we found no credible reports on such a development. This is a sign that the claim might be false. On 18 March, Nelson Chukwudi, the governor's chief press secretary,   released a statement   debunking the claim.  Part of the statement reads: “There is also another planted by some people bent on causing chaos and anarchy in the State, alleging that former President Olusegun Obasanjo, paid a visit to the Governor in Government House, Port Harcourt. Ordinarily, we would not have responded to these spurious claims and obvious fake news on social media, but … let it be clarified that there was no such visit by any delegation of PANDEF to Governor Fubara on the said date, neither did Chief Obasanjo visit him as claimed by our detractors.” Kehinde Akinyemi, Obasanjo’s media aide, also told the media that the claim was  false .",FALSE
14-Mar-25,"No, HIV-positive patients in Nigeria won’t have to pay N30 million per month for treatment",US president Donald Trump’s decision to temporarily freeze all US foreign assistance has affected many programmes across the world. But the claim that HIV medication will cost N30 million a month in Nigeria unless Trump changes his mind is false.,"Donald Trump  was  sworn in  as president of the United States for the second time on 20 January 2025. Since then, he has  signed  many  executive orders , most of them affecting humanitarian efforts and immigration. An executive order is a  legislative tool  that allows a US president to issue legally binding orders to the federal government. On his inauguration day, Trump signed an order titled  Reevaluating and Realigning United States Foreign Aid . In this executive order, he called for a 90-day pause on new foreign aid commitments and disbursements pending a review of all foreign aid programmes. This order also affected the  President's Emergency Plan for AIDS Relief  (Pepfar), which has been instrumental in providing  human immunodeficiency virus  (HIV) treatment and prevention services across Africa.  HIV is a virus that  attacks  and weakens the body’s immune system.  Antiretroviral drugs ,  or ARVs, help treat HIV by stopping the virus from spreading in the body. If people infected with the virus don’t get treatment, they could develop the potentially fatal   acquired immunodeficiency syndrome , or  Aids. Nigeria has been a  major beneficiary  of funding for the treatment and prevention of HIV from the US, mainly through Pepfar. In this context, a Facebook  post  claims that HIV-positive patients in Nigeria will spend N30 million (about US$20,019) monthly to afford medication. Part of the  31 January 2025 post  reads: “ HIV Patients in Nigeria will now spend 30 million Naira monthly to afford drugs if Trump does not change his mind …  90% of Nigerians will not be able to afford it. With Trump cutting funding for free HIV treatment and other HIV programs, the disease will spread like wild fire. Discipline yourself and save your life.” The same claim appears  here  and  here .  (Note: See more instances at the end of this report.) But is this true? We checked. ‘Treatment remains free’ says Nigerian agency On 27 February, Nigeria’s  National Agency for the Control of AIDS  debunked a  similar post  claiming HIV medication would cost N250,000 per dose, with patients required to pay N500,000 monthly. The agency  said : “HIV treatment in Nigeria remains free of charge at Government owned health facilities. The Government in collaboration with donor partners remains steadfast in providing free and accessible HIV treatment to all who need it.” To mitigate the impact of the frozen US aid, the Nigerian federal executive council   approved   contracts worth N10.3 billion (almost US$7 million) on 5 March to procure essential medical supplies, including   ARVs . There are no reports from credible media outlets to support the claim that HIV-positive patients will each have to pay N30 million per month for treatment. If this were true, it would have received wide media coverage. Similar claims were found  here ,  here ,  here ,  here ,  here ,  here ,  here  and  here .",FALSE
14-Mar-25,"No, US president Donald Trump has not sanctioned Nigeria or ordered closure of US embassy in the country",There is no evidence to support the claim that,"Some Facebook  posts claim  that United States president Donald Trump has imposed sanctions on Nigeria, cut business ties and ordered the closure of the US embassy in the country.  Part of one  post, dated 9 March 2025,  reads :  “U.S. President Donald Trump has announced sweeping sanctions on Nigeria, citing concerns over the legitimacy of the country’s last presidential election.” The post also quotes Trump as saying:  I’ve received countless reports—very serious reports—saying that the current president of Nigeria is not the person the people really voted for. It’s a disgrace. It’s terrible. This kind of election fraud would have never happened if I were president at the time. I would have made sure of that. We’re not going to stand by and watch this happen. I am sanctioning Nigeria, blocking their access to international trade, and cutting business ties with the U.S. until things are done the right way. Nigeria deserves better. The people of Nigeria deserve better.   The same claim appears  here  and  here .  (Note: See more instances listed at the end of the report.) Bola Tinubu  emerged  victorious  in Nigeria’s 2023 presidential election. Some opposition parties  challenged  the election results in court, citing irregularities. But the country's supreme court later  upheld  Tinubu’s victory. Since his inauguration as the  47th president  of the US, Trump has signed dozens of  executive orders , and imposed  sanctions  and new tariffs on goods from various countries.  When a country is   sanctioned , trade is restricted or stopped altogether in an  attempt to penalise   the country for failing to comply with international laws.  So, has  Trump imposed sanctions on Nigeria and ordered the closure of the US embassy in the country? We checked. No evidence to support this Since Trump took office in January 2025, his administration’s  activities   have consistently made headlines, especially those   concerning international relations . Recent diplomatic rows between the US and countries such as   South Africa   and   Colombia   have received wide media coverage. It’s unlikely that Trump would impose sanctions on Nigeria, and the media hasn’t reported on it. Also, there is no evidence of a disruption of activities at the   US embassy and consulate in Nigeria .  The embassy’s   website   and   X account   show it has been busy.    No evidence supports the claim. It is false. The false claim was also posted  here ,  here ,  here ,  here ,  here ,  here  and  here .",FALSE
28-Feb-25,"No, Nigerian singer Davido was not arrested in Abuja for threatening police chief and attempted murder",Multiple Facebook posts claim that Nigerian artist Davido has been arrested in Abuja for attempted murder and threatening a police chief. The claim is false.,"Singer David Adeleke, better known as Davido, has been arrested in the Nigerian capital of Abuja for attempted murder and threatening the police chief in Osun state. That’s according to a   post  published on a public   Facebook group  with over 94,600 members . Osun state is in southwest Nigeria. “Breaking: Davido Arrested in Abuja Over Alleged Threat to Osun State IG, Faces Transfer to Prison for Attempted Murder,”  the  post reads . The post links to an  article  that claims: “Davido was taken into custody late Tuesday evening at a private residence in Abuja. Authorities claim that the arrest was based on credible intelligence suggesting that the singer had made violent threats against the Osun State IG during a heated dispute .”  The same claim can also be found  here  and  here .  (Note: See more instances listed at the end of the report.) Osun state politics The post uses the acronym “IG”, which refers to the  inspector general of police , the overall head of the Nigerian police. The police chief in Osun state is the commissioner of police , Mohammed Abba.  Davido’s uncle Ademola Adeleke is the governor of Osun state. Davido made a series of  strong-worded comments  on social media about a  political crisis  over local governments in the state. Shortly before leaving office as Osun state governor in 2022, Adegboyega Oyetola  conducted local government elections , which candidates of his party, the All Progressives Congress, won.  However, a  court ruling  removed the local government officials before Adeleke of the People's Democratic Party (PDP) took office and set up caretaker committees to run the local councils.  A court of appeal  ruling  on 10 February 2025 nullified the 2022 ruling that sacked the local council officials. However, the state government  went ahead  with the local government election on 22 February 2025. The  PDP won  in all 30 local government areas.   In a press conference,  Adeleke accused Oyetola  of using the heads of security agencies in the state, including Abba, to  forcefully reinstate  the sacked local council officials. Adeleke claims security agents take orders from Oyetola because he is president Bola Tinubu’s  nephew . Davido  criticised and insulted  Abba on the social media platform X.  In one tweet, Davido  wrote : “Mr Umar abba osun state  commissioner u are a disgrace to ur children !! !!! Game on  FUCKER  !!!! All of us go mad together !! Werey.” In another post, Davido  said : “Mr commissioner respect the rule of law!!! You are not madder or crazier than us !! Make we all kuku mad !! MEN MOUNT WALAI TO KRF!!! I will post u everyday everywhere Mr man !!! Try me  fucker .” Was Davido arrested for tweeting these and more? We checked.   No evidence of the claim Davido, a Grammy nominated singer, has  16.4 million followers  on X and  29.4 million on Instagram .  If he was indeed arrested for threatening a police chief or attempted murder, it would’ve made headlines.  We found multiple news reports on Davido’s comments on the Osun political crisis but no mention of him getting arrested. Such selective media coverage is unlikely.   Davido apologised and praised Abba Later, in a series of tweets titled  My Take on Osun CP, NPF and Forthcoming LG Elections , Davido  noted  that he initially failed to  recognise the efforts of Abba and other security agents to keep Osun state peaceful amid the crisis. There is no evidence of the Nigerian police arresting or pressing charges against Davido. The claim is false. The false claim was also posted  here ,  here ,  here ,  here  and  here .",FALSE
28-Feb-25,"No, former president Olusegun Obasanjo has not said Obafemi Awolowo’s food blockade was key to ending Nigerian civil war",Facebook posts claim that Olusegun Obasanjo said the food blockage supposedly initiated by then federal commissioner for finance Obafemi Awolowo was key to ending the Nigerian civil war. There is no evidence of this.,"Former Nigerian president Olusegun Obasanjo said  the food blockage supposedly initiated by then federal commissioner for finance  Obafemi Awolowo  was key to ending the  Nigerian civil war . This is according to  a  post  on  a  public Facebook group  with over 94,600 members . The  post reads :  “ Breaking News: Awolowo’s Food Blockade Was Key to Ending the War – Igbo Soldiers Were Unstoppable – Obasanjo. ”  The claim can also be found  here  and  here .  (Note: See more instances listed at the end of the report.) Nigeria’s eastern region seceded, declaring independence as the  Republic of Biafra  on 30 May 1967.  This led to a  civil war  that ended in January 1970 and had a death toll  estimated at  between 500,000 and 3 million . The Biafrans were predominantly of the Igbo ethnic group. Obasanjo  headed a commando division  during the war. He later became  military head of state of Nigeria  from 1976 to 1979  and the country’s democratically elected president  from 1999 to 2007 .  Nigerian troops  captured  the coastal city of Port-Harcourt in May 1968  and blocked Biafra’s access to food and other relief materials. It’s estimated that hundreds of thousands of  Biafrans starved to death , including women and children. Awolowo was accused of masterminding the blockade. However, there is  evidence that  the leader of Biafra at the time, Colonel  Odumegwu Ojukwu ,  refused to accept  the Nigerian government’s conditions for allowing the supplies.  Did  Obasanjo make public statements about the blockade and its impact on the civil war in 2025? We checked.  No evidence of the claim On 20 February 2025, another former Nigerian military head of state  Ibrahim Babangida   launched  his  book  A Journey in Service. Since then, Nigerians have debated  historical events , including the civil war and the annulled 1993 presidential election.  We found no evidence of the claim or a credible media report on Obasanjo speaking about the civil war.  It’s unlikely that such a claim by Obasanjo would go unreported by the media. The same claim  generated much debate  when it was made in the book  There Was a Country  by Chinua Achebe, published in 2012.  The  claim that  Obasanjo made the statement about the blockade in 2025 is false.  The false claim was also posted  here ,  here ,  here ,  here ,  here ,  here ,  here  and  here .",FALSE
25-Feb-25,Ignore social media posts attributing false quote about counterfeit drugs to head of Nigeria’s drug control agency,The claim that the director general of Nigeria’s food and drug control agency has said that 95% of fake drugs are manufactured in southeastern cities is false. Ignore social media posts claiming otherwise.,"Several Facebook  posts  attribute a shocking  quote  to Prof  Mojisola Adeyeye , the director general of Nigeria’s  National Agency for Food and Drug Administration and Control  (Nafdac). The posts quote her as  saying : “95% of drug counterfeiting in Nigeria is done at Aba and Onitsha.” They feature an image of her being interviewed by  Channels TV  anchor  Seun Okinbaloye  on his political programme, Sunday Politics. The posts imply that Adeyeye made the statement during her interview with Okinbaloye. Aba  is a large  industrial  city in Abia state, and  Onitsha  is a  port and  market  town  in Anambra state, southeastern Nigeria . Both  play a significant role in the country's economy and culture. Nafdac is a government agency that oversees the safety, quality and efficacy of food, drugs, cosmetics, medical devices, chemicals, and packaged water. The agency has conducted  several raids  in the southeast since the start of 2025, confiscating  substandard and expired drugs  and  shutting down  some markets.  The same claim can be found  here  and  here .  (Note: See more instances at the end of this report.) But did Adeyeye make such a statement? We checked. No proof of statement The  interview  referenced in the posts was uploaded on Channels TV’s  YouTube page  on 17 February 2025.  In it, Adeyeye spoke about Nafdac’s raids on some markets and the manufacturing of fake drugs in the country. In response to  Okinbaloye’s question  about where the fake and unregistered drugs were coming from, Adeyeye  said  most of them were imported. “Most of the [fake] drugs are being brought into the country … Most of the substandard or falsified drugs that are coming in, the volume is huge. The ones that we’ve seen in Aba, Osisioma area and the ones that we’ve seen in Onitsha are not from local manufacturers. They are being brought in through porous borders and through the ports.” She never said 95% of drug counterfeiting in Nigeria was done in Aba and Onitsha, as claimed online. If Adeyeye had made such a statement, it would have made headlines. But we found no reports of it. The same claim can be found  here ,  here ,  here ,  here ,  here  and  here .",FALSE
25-Feb-25,No evidence Nigerian president Bola Tinubu plans to deport US citizens or ban US-made phones,"According to a screenshot of an X post circulating on social media in Nigeria, the Nigerian president has begun deporting 700 US citizens and banned US-manufactured phones. But Africa Check found no evidence to support these claims.","Nigerian president  Bola Tinubu  has begun the process of deporting 700 US citizens living in Nigeria and banned the use of US-made phones. That’s according to a  screenshot of an X post  doing the rounds online in Nigeria.  The post  says  Tinubu’s actions are in retaliation to US president  Donald Trump ’s tough stance  against immigrants.  The X post in the  screenshot  was published on 25 January 2025 by an account called  Celebrity Blogger . While it appears that the post has been deleted, screenshots of it continue to circulate. They can be found  here  and  here .  (Note: See more instances at the end of this report.) Since his  inauguration  on 20 January, Trump has  signed  several  executive orders  to support his  mass deportation  plans. An executive order is a  legislative tool  which allows a US president to issue legally binding orders to the federal government.  A  document  from the  US Immigration and Customs Enforcement  (ICE) shows that over  1.4 million  people, including  3,690 Nigerians , face deportation from the US. ICE is an agency that imposes federal laws governing border control, customs, trade and immigration. But has Tinubu in turn begun deportation processes for US citizens and banned US-made mobile phones in Nigeria? We checked. No evidence to support the claims Africa Check found no credible news reports of Tinubu deporting US citizens or banning the use of US-made phones. Such developments would have caught the attention of the media  worldwide . The  account  that initially made the claim on X did not provide sources. This is a major red flag. The Nigerian government  told the media  that by 17 February, there were 201 Nigerians in US immigration camps, with 85 already cleared for deportation. On 18 February, the  Nigeria Immigration Service  (NIS)  arrested  40 illegal immigrants in  Oyo state . The group included 27 Cameroonians, two Ghanaians, 10 Beninoise, and one Togolese.  There has been no statement from the Nigerian government or the NIS on US citizens in the country illegally.  There is also no evidence to support the claim that Tinubu has banned US-made phones.  The screenshot also appeared  here ,  here ,  here ,  here ,  here ,  here  and  here .",FALSE
